Name,Debut,Company,Members,Orig. Memb.,Fanclub Name,Active
(G)I-DLE,5/2/18,Cube,6,6,,Yes
15&,10/5/12,JYP,2,2,,No
2EYES,7/20/13,SidusHQ,4,5,,No
2NE1,5/6/09,YG,4,4,Blackjack,No
3YE,5/21/19,GH,3,3,,Yes
4Minute,6/15/09,Cube,5,5,4nia,No
4TEN,8/26/14,Jungle,4,4,,No
9Muses,8/12/10,Star Empire,4,9,MINE,No
A.DE,7/23/16,2ABLE,6,7,,No
ABRY,11/15/17,withHC,4,4,,Yes
aespa,11/17/20,SM,4,4,My,Yes
After School,1/15/09,Pledis,6,5,Playgirlz,No
AiRiSu,7/25/18,Jang,4,4,,No
ANS,9/16/19,ANS,8,6,,No
AOA,7/30/12,FNC,4,8,ELVIS,Yes
API,4/19/19,BRICKWORKS,5,5,,Yes
Apink,4/19/11,Plan A,6,7,Pink Panda,Yes
Apple.B,8/1/17,GH,5,5,,No
April,8/24/15,DSP,6,6,Fineapple,Yes
AREAL,8/21/20,JZ Factory,4,4,,Yes
Ariaz,10/23/19,Rising Star,6,6,,Yes
Baby V.O.X,7/5/97,DR Music,5,5,,No
Badkiz,3/24/14,Zoo,5,5,,No
Berry Good,5/21/14,Asia Bridge,6,5,,Yes
BESTie,7/11/13,YNB,4,4,BESTiny,No
BLACKPINK,8/8/16,YG,4,4,,Yes
BlackSwan,10/16/20,DR,5,5,,Yes
Blady,5/16/11,Star Planet,5,4,Hi ade,No
Blastar,7/31/20,VH,5,5,,Yes
Bling Bling,11/17/20,Major9,6,6,,Yes
Bloomy,2/1/16,DS,4,4,,Yes
Bob Girls,6/10/14,Chrome,4,4,,No
Bolbbalgan4,4/22/16,Shofar,1,2,,Yes
Bonus Baby,1/1/17,Maroo,6,6,,No
BOTOPASS,8/26/20,WKS ENE,8,8,,Yes
Brave Girls,4/8/11,Brave,4,5,,Yes
Brown Eyed Girls,3/2/06,Mystic,4,4,Everlasting,Yes
Bulldok,10/20/16,Kconic,5,3,,No
Busters,11/27/17,JTG,5,5,Bu-Chu,Yes
BVNDIT,4/10/19,MNH,5,5,,Yes
C-REAL,10/11/11,NAP,3,5,,No
Camila,8/29/18,Camila,3,3,,No
Cherry Bullet,1/21/19,FNC,7,10,,Yes
Cherry On Top,8/9/18,United,4,4,,No
ChoColat,8/16/11,Paramount,5,5,Chocolatier,No
cignature,2/4/20,C9,7,7,,Yes
CLC,3/19/15,Cube,7,5,Chesire,Yes
CoCoSoRi,1/5/16,MOLE,2,2,,No
CRAXY,3/3/20,SAITEINMENT,5,5,,Yes
Crayon Pop,7/17/12,Chrome,4,5,,No
D-Unit,8/1/12,D-Business,2,3,Unique,No
D.Holic,10/29/14,H.Mate,4,5,,No
Dal Shabet,1/3/11,Happy Face,4,6,Darling,Hiatus
Davichi,2/4/08,CJ E&M,2,2,,Yes
Destiny,9/28/18,D-SIDE,4,4,,Yes
DIA,7/14/15,MBK,7,7,AID,Yes
Dorothy,8/16/16,Leek Mill,3,5,,No
DreamCatcher,1/13/17,Happy Face,7,7,,Yes
Dreamnote,11/7/18,iME,6,8,,Yes
ELRIS,7/1/17,Hunus,7,5,,Yes
Episode,2/4/20,Pops,5,5,,Yes
Everglow,3/18/19,Yuehua,6,6,,Yes
EvoL,8/10/12,Stardom,5,5,Voller,No
EXID,2/16/12,Yedang,5,6,LEGO,Yes
f(x),8/24/09,SM,4,5,MeU,No
F-ve Dolls,1/20/11,MBK,6,5,,No
FANATICS,8/6/19,FENT,8,6,,Yes
Favorite,7/5/17,Astory,6,6,,Yes
Fiestar,8/31/12,LOEN,5,6,Let's,No
FLAVOR,11/26/18,FENT,3,3,,Yes
fromis_9,1/24/18,Off The Record,9,9,,Yes
Gavy NJ,11/11/05,Good Fellas,3,3,,Yes
Gawi Bawi Bo,5/1/18,LOUDers,5,5,,Yes
GeeGu,10/26/17,NOS,7,9,,No
Gfriend,1/15/15,Source,6,6,Buddy,Yes
GI,4/3/13,Simtong,3,5,,No
Girl's Day,7/7/10,DreamT,4,5,Dai5y,Hiatus
Girlkind,1/16/18,Nextlevel,5,5,,Yes
Girls Girls,12/9/15,H Brothers,4,5,,No
Girls' Generation,8/5/07,SM,5,9,SONE,Yes
GLAM,7/16/12,Big Hit,4,4,,No
Good Day,8/30/17,C9,10,10,,No
GP Basic,3/18/11,Jacyhan,4,6,Spade,No
Greyish,6/1/17,Elijah,4,4,,Yes
GsA,5/25/17,Roots,5,5,,Yes
Gugudan,6/28/16,Jellyfish,8,9,,No
GWSN,9/5/18,Kiwi Pop,7,7,Groo,Yes
H.U.B,2/9/17,New Planet,5,4,,No
Hash Tag,10/11/17,LUK,7,7,,Yes
Hello Venus,5/9/12,Fantagio,6,6,Hello Cupid,No
Heygirls,11/20/17,Moai,4,4,,Yes
Hi Cutie,10/12/17,Space,4,5,,Yes
HighSchool,4/30/19,Richworld,4,4,High Class,Yes
Highteen,10/14/16,Elijah,4,4,,Yes
Hinapia,11/3/19,Alseulbit,5,5,,No
Hint,3/31/17,Starpro,5,7,,Yes
Honey Popcorn,3/21/18,Kyun Create,3,3,,Yes
I.C.E,11/16/15,HS,3,4,,Yes
ICU,10/22/19,Liz,5,5,,Yes
ILUV,4/30/19,WKS ENE,7,7,,No
IOI,5/4/16,YMC,11,11,,No
ITZY,2/12/19,JYP,5,5,Mitzy,Yes
IZ*ONE,10/29/18,Off The Record,12,12,,Yes
Jewelry,3/30/01,Star Empire,4,4,,No
KARA,3/29/07,DSP,4,5,Kamilia,No
KEEMBO,4/10/20,ARA-LINE,2,2,,Yes
KHAN,5/23/18,Maroo,2,2,,No
Kitten Girls,9/4/18,Wannabe,4,4,,No
Laboum,8/27/14,NH,5,6,Latte,Yes
Ladies' Code,3/7/13,Polaris,3,5,Lavely,Hiatus
LipBubble,3/22/17,Zenith,7,7,,No
Loona,8/20/18,Blockberry,12,12,,Yes
Lovelyz,11/17/14,Woollim,8,8,Lovelinus,Yes
LUNARSOLAR,9/2/20,J Planet,4,4,Haedal,Yes
Lusty,6/26/19,babaplay,5,5,,Yes
MAJORS,3/9/21,ANS,6,6,,Yes
Maka Maka,8/4/20,Dreamus,5,5,,Yes
Mamamoo,6/18/14,RBW,4,4,Moomoo,Yes
Marmello,5/24/17,Rolling,5,5,,No
Matilda,3/18/16,Box,4,4,,No
Melody Day,2/25/14,Cre.Ker,4,3,,No
Melody Pink,9/25/19,KD,4,4,,Yes
Minx,9/18/14,Happy Face,5,5,,No
miss A,7/1/10,JYP,3,4,Say A,No
Mixx,5/2/16,Chiko,5,4,,No
Momoland,11/9/16,Double Kick,6,7,,Yes
myB,8/25/15,Maroo,6,6,,No
Nature,8/3/18,n.CH,9,9,,Yes
NeonPunch,6/27/18,A100,5,5,,No
O21,6/21/16,Houxiu,3,6,,No
Oh My Girl,4/21/15,WM,7,8,Miracle,Yes
OhBliss,10/17/16,JT Corea,5,5,,Yes
P.O.P,7/26/17,DWM,6,6,,No
Pink Fantasy,10/28/18,My Doll,8,8,,Yes
PIXY,2/24/21,ALLART,6,6,,Yes
Playback,6/25/15,Coridel,5,4,,Yes
Precious,9/23/20,Umi,5,5,,Yes
PRISMA,10/31/20,UnionWave,5,5,,Yes
Pristin,3/21/17,Pledis,10,10,,No
Pungdeng-E,12/11/13,DOMA,3,3,,Yes
Purple Kiss,3/15/21,RBW,7,7,,Yes
PURPLEBECK,6/24/19,Majesty,5,5,Beckies,Yes
Rainbow,8/12/10,DSP,7,7,,No
Rania,4/6/11,DR,5,8,,No
Red Velvet,8/1/14,SM,5,4,,Yes
REDSQUARE,5/19/20,About,5,5,,Yes
Rocket Punch,8/7/19,Woollim,6,6,,Yes
Rockit Girl,5/30/19,Rolling,2,2,,Yes
Rose Finger,10/3/18,YC:Bros,4,4,,No
Rubber Soul,2/10/15,Happy Tribe,2,3,,Yes
S.E.S,11/1/97,SM,3,3,,No
S.I.S,8/25/17,Double X,6,6,,Yes
Saturday,7/18/18,SD,6,7,,Yes
SECRET,10/13/09,TS,3,4,Secret Time,No
SECRET NUMBER,5/19/20,Vine,5,5,,Yes
Sha Sha,2/27/18,Major Ent,6,6,,No
SISTAR,3/6/10,Starship,4,4,STAR1,No
Sonamoo,12/29/14,TS,5,7,Solbangul,Yes
SPICA,2/7/12,CJ E&M,5,5,Mercury,No
STAYC,11/12/20,Hi-Up,6,6,,Yes
Stellar,8/28/11,Pascal,4,4,Twinkle,No
Sunny Hill,9/20/07,Nega,4,5,,No
T-ara,7/29/09,MBK,4,6,QUEEN'S,Hiatus
Tahiti,6/23/12,J-line,5,6,,No
The Grace,4/29/05,SM,3,4,,No
Tiny-G,8/23/12,GNG,3,4,,No
TRI.BE,2/17/21,TR - Mellow,7,7,,Yes
TWICE,10/20/15,JYP,9,9,Once,Yes
Two X,8/20/12,J. Tune,4,5,,No
Uni.T,5/18/18,Unit Culture,8,9,,No
Unicorn,9/3/15,Cartoon Blue,4,5,,No
Wable,2/17/16,Kiwi,2,2,,Yes
Wanna.B,11/17/14,Zenith,5,4,Ru.B,No
Wassup,8/7/13,Mafia,7,7,,No
We Girls,8/31/18,Afternoon,8,8,,Yes
Weeekly,7/30/20,Play M,7,7,,Yes
Weki Meki,8/8/17,Fantagio,8,8,,Yes
WJSN,2/25/16,Starship,13,12,Ujung,Yes
Wonder Girls,2/13/07,JYP,4,5,Wonderful,No
woo!ah!,5/15/20,NV,6,6,,Yes
XUM,9/22/20,A100,3,3,AWEXUM,Yes
Yellow Bee,11/23/17,Addiction,5,5,,No